mfa_id,name
4255,Huasong
4256,Victory
4257,Fqt Motor
4258,Huanghai
4259,Enranger
4260,Samsung
4264,Dongfeng Fengdu
4265,Kama
4266,Baic Weiwang
4267,Dayun
4268,Hengtong
4269,Dfsk
4273,Shacman
4276,Xcmg
4280,Saic-Iveco Hongyan
4282,Land Rover (Chery)
4287,Husaberg
4288,Ecm
4289,Gasgas
4290,Rex
4292,Tagaz
4294,Volgabus
4299,Sundown
4310,Vam
4314,Hmracing
4315,Beta
4319,Caloi
4320,Huayang
4322,Zero
4323,Wangye
4324,Victory Motorcycles
4325,Indian
4326,Wuyang
4328,Motobi
4330,Adly
4331,Aeon
4333,Mondial
4334,Nipponia
4346,Quadro
4367,Amazonas
4368,Bimota
4369,Dayang
4370,Garinni
4371,Haobao
4372,Hartford
4373,Iros
4374,Johnny Pag
4375,Kahena
4376,Miza
4377,Regal Raptor
4379,Vento
4385,Mvk
4386,Royal Enfield
4390,Kandi
4391,Agco Allis
4392,Pfanzelt
4393,Isuzu (Jiangxi)
4394,C&C Trucks
4400,Sommer Motorcycles
4401,Tgb
4402,Beeline
4403,Generic
4404,Rivero
4406,Ariel
4407,Swm
4414,Alpheon
4418,Baic Bjev
4421,Troliga Bus
4423,Baotian
4424,Cf Moto
4425,Tomos
4439,Bogdan
4445,Karsan
4448,Tongjiafu
4449,Tongbao
4450,Heibao
4454,Jeep (Gac Fca)
4468,Ds
4472,Kuba
4473,Genesis
4487,Cezeta
4488,Horex
4489,Amw
4491,Emco
4492,Mash
4493,Motowell
4494,Luxxon
4495,Keeway
4496,Turbho
4497,Sfm
4498,Ksr Moto
4501,Mobility Ventures
4532,Spartan
4534,Sml
4535,Ika
4536,Ies
4537,Siam
4538,Renault (Dfac)
4539,Govecs
4540,Brixton
4541,Engesa
4542,Inbus
4552,Bajaj
4553,Hero
4554,Tvs
4555,Um
4556,Hero Electric
4558,Monto
4559,Lectric
4560,Yobykes
4564,Yezdi
4566,Kanda
4577,Tatsa
4592,Saipa
4593,Acura (Gac)
4599,Zd
4600,Autoar
4604,Zenos Cars
4605,Multix
4607,Vuhl
4608,Güleryüz
4609,Chana
4610,Hanteng
4611,Swm Motors
4612,Lynk & Co
4613,Niu
4614,Jaguar (Chery)
4617,Ccm
4618,Megelli
4621,Rieju
4623,Zanella
4624,Scomadi
4626,Bahman
4627,Speranza
4628,Asiawing
4633,Garelli
4636,Venirauto
4637,Bisu
4639,El Detalle
4640,Groz
4642,Sileo
4644,Thairung
4645,Bio Auto
4646,Vem
4657,German E Cars
4658,Donkervoort
4659,Pgo
4660,Ravon
4661,Shineray
4667,Xgjao
4668,Haosen
4670,Motorrad
4672,Euromot
4673,Jianshe
4674,Loncin
4675,Tmracing
4683,Izh
4692,Hattat
4708,Romanital
4712,Bluecar
4717,De La Chapelle
4722,Hesket
4723,Norton
4729,Humber
4730,Alvis
4731,Singer
4739,Fnm
4740,Zamyad
4751,Wey
4752,Goupil
4762,Uz-Daewoo
4763,Seaz
4764,Yudo
4771,Qingqi
4773,Hicom
4780,Nio
4788,Zarooq
4798,Traum
4799,Jinlun
4801,Benzhou
4802,Znen
4803,Cpi
4817,Polestar
4896,Cupra
5062,Zongshen
5063,Adiva
5064,Atala
5065,Yiben
5066,Eton
5067,Huatian
5068,Lexmoto
5069,Lingben
5076,Gac Mobylette
5077,Xingyue
5078,Sanben
5109,Horki (Dyk)
5111,Vortex
5114,Weltmeister
5115,Oshan
5116,Baic Ruili
5118,Vinfast
5119,Jetour
5123,Ora
5124,Red Star
5125,Sinogold
5127,Braaap Motorcycles
5128,Bsa Motorcycles
5129,Hunter Motorcycles
5130,Lambretta
5131,Laro
5133,Sherco
5134,Vmoto Motorcycles
5135,Gumpert
5136,Apollo
5138,Qiantu
5139,Sitech
5140,Dearcc
5141,Dorcen
5152,Polaris
5155,Lite (Bjev)
5156,Neta (Hozon)
5170,Martin Motors
5171,Spania Gta
5173,Bolwell
5181,Linktour
5184,Xpeng
5186,Autorrad
5188,Yulu
5190,Fac
5194,Levc
5201,Leapmotor
5203,Oullim
5204,Mpm Motors
5206,Ud Nissan Diesel
5208,Gme
5209,Giotti Victoria
5219,Jmev
5244,Geometry
5246,Lixiang
5247,Exeed (Chery)
5248,Enovate
5257,Minicord
5258,Zedriv
5259,Skywell (Kaiwo)
5262,Srm (Brilliance)
5330,Techart
5338,Cnj
5392,Hino (Gac)
5398,Jetta
5402,Okinawa
5405,Cleveland Cyclewerks
5407,Ather
5409,Ampere
5411,Revolt
5412,F.B Mondial
5414,Atul
5415,Baxy
5416,Scooters India
5417,Jsa
5422,Lovson
5424,Kinetic
5425,Teja
5426,Rasandik
5436,Rosenbauer
5440,Alexander Dennis
5441,Bci
5463,Corona
5464,Jbm
5465,Ural India
5475,Galloper
5478,Zhongtong
5479,Ankai
5480,Sunlong
5482,Comarth
5486,Fengon
5487,Aeolus
5499,Letin
5500,Aiways
5501,Karma
5506,Vgv
5507,Dodge (Soueast)
5510,Bestune
5511,Hunkt
5512,Lincoln (Changan)
5521,Chrysler (Soueast)
5522,Everus
5525,New Baojun
5527,Dongfeng Chaolong
5530,Leopaard
5550,Lohia
5558,Togg
5568,Byd Adl
5583,Hycan
5590,Seres
5595,Sol
5596,Ciimo
5598,Foton Gratour
5599,Jdmc
5670,Beijing
5671,Baic-Orv
5672,Lorinser
5696,Maple
5699,Joyfun Auto
5704,Swaraj Mazda
5705,E.Go
5710,King
5711,Masa
5733,Voge
5735,Volvo Bm
5736,Isorivolta
5737,Iso
5738,Bizzarrini
5745,Gac Ne
5746,Lingbox
5747,Bajaj Re
5766,Rcev
5767,Dongfeng Fukang
5769,Cenntro
5808,Faw (Hongta)
5813,Sd
5841,Ace
5842,Agri King
5843,Akash
5844,Captain
5845,Escorts
5846,Field Marshal
5847,Trakstar
5848,Indo Farm
5849,Hmt
5850,Kamco
5851,Standard Agri
5852,Tafe
5853,Trishul
5854,Vst Shakti
5855,White Wagon
5856,Mahindra Gujarat
5858,Hiphi
5890,Skywell
5891,Arcfox
5998,Ford Africa
5999,T-King
6000,Farizon Auto
6016,Faam
6025,Kish Khodro
6027,Lonsdale
6028,Mini (Gb)
6029,Mosler
6030,Mtx
6039,Star
6043,Zenvo
6057,Refine
6067,R Auto
6089,Fargo
6119,Timor
6121,Fomm
6140,Esemka
6146,Pocco
6162,Henrey Automobile
6168,Zeekr
6175,Td Cars
6176,Skyworth
6177,Elaris
6178,Sevic
6183,Pur Ev
6184,Benling
6203,Odysse
6204,Rowwet
6207,Zacua
6208,Hengrun Auto
6223,Voyah
6224,Kaicene
6233,Tank
6276,Feidi
6277,Sany
6288,Ev House
6302,Baic Ruixiang
6350,Online
6363,Forthing
6378,Modern Auto
6381,Baizhi
6398,Xbus
6400,Audi (Saic)
6439,Tropos
6459,Motorino
6460,Haojue
6465,Aito
6466,Bull
6470,Sousa
6471,Aima
6476,Cake
6477,Voltz
6478,Bee
6479,Super Soco
6480,Avelloz
6491,Auguri
6493,Wazn
6494,Mormaii
6501,E.F.O
6502,Zontes
6513,Horwin
6514,Im Motors
6519,Lucid
6541,Brilliance Xinri
6543,New Gonow Auto
6545,Micro
6567,Motron
6576,Ineos
6579,Asia Cab
6587,Deepal
6588,Xev
6619,Veam
6622,Avatr
6623,Huakai Auto
6624,Wanxiang Auto
6687,Qjmotor
6688,Yadea
6690,Tinbot
6695,B-On
6696,Scoobic
6697,Huazi Auto
6699,Alrendo
6702,Jidu
6705,Energica
6706,Truong Giang
6707,Tmt Motors
6708,Samco
6710,Radar
6725,Hdt
6732,Menarinibus
6739,Livan Auto
6751,Praga
6758,Emw
6768,Viauto
6772,Evum Motors
6773,Nextem
6798,Vertigo
6812,Wright
6822,Lordstown
6856,Galaxy
6861,Bak Automobile
6862,Evo
6869,Livewire
6873,Ickx
6874,Sportequipe
6883,Addax
6897,Mutt
6898,Brightdrop
6899,Kayo
6903,Jac Ev
6904,Gpx Moto
6906,Talaria
6909,Ycf
6910,Zoot
6915,Rivian
6928,Linxys
6929,Hyper
6933,Kyc
7023,Polestones
7024,Emc
7025,Thaco
7029,M-Hero
7030,Kg Mobility
7089,Yangwang
7090,Jiyue Auto
7094,Qiyuan
7095,Reach
7096,Jenhoo-Auto
7097,Chengshi
7098,Neomor
7099,Nammi
7110,Fest
7114,Royal Alloy
7268,Coradir
7274,Volt
7275,Vinamotor
7289,Ohm
7384,Vent
7507,Fangchengbao
7577,Landian
7642,Omoda
7731,Luxeed
7732,Yuanhang
7738,Dongben
7789,Eπ
7809,I Car
8047,Bac
8048,Xiaomi
8059,Jaecoo
8065,Mullen
8093,Stark Future
8113,Jpx
8126,Arrow Mobility
8127,Lafer
8128,Cross Lander
8129,Prike
8155,Santa Matilde
8161,Xcite
8166,Wallys
8168,Tnt
8179,Forza
8185,Qooder
8195,Wottan Motor
8223,Vw (Anhui)
8231,Chirey
8232,212
8233,Chevoo
8234,Hengchi
8235,Minan Auto
8236,Onvo
8237,S-Hiace
8238,Stelato
8239,Winnerway
8241,Shacmoto
8245,Zeeho
8263,Lingxi
8264,Elfin
8265,Naxeon
8267,Kim Long
8268,Leonart
8295,Velocifero
8300,Dsk
8307,Voxan
8309,Ubco
