eng_id,Код двигателя,Мощность (kw) от,Мощность (kw) до,Мощность (л.с.) от,Мощность (л.с.) до,Объем двигателя (л.),Диаметр цилиндра (мм),Количество цилиндров,Количество клапанов,Тип топлива двигателя
30338,VQ35DE,160,190,218,258,3.5,95.5,6,24,бензин
33935,LEA-MF6,65,84,88,114,1.5,,4,16,бензин
31129,4G15S,80,,109,,1.5,76,4,16,бензин
36025,D 20 DTJ,96,,131,,2,83,4,16,Дизель
27570,YZ4DA1-30,95,,129,,3.7,102,4,8,Дизель
34275,G6DF,184,199,250,271,3.3,92,6,24,бензин
44504,K5M,99,110,135,150,2.5,,6,24,бензин
23437,D 2066 LF 52,265,,360,,10.5,120,6,24,Дизель
16911,OM 542.941,350,370,476,503,15.9,130,8,32,Дизель
32865,LGO,138,,188,,2.3,92,4,16,бензин
42674,C3L,44,61,60,83,1.6,77,4,8,бензин
30400,DC 12.07,279,280,379,381,11.7,127,6,24,Дизель
37844,T10.34-50,248,250,337,340,9.7,126,6,24,Газ
34576,H4B 409,66,,90,,0.9,72.2,3,12,бензин
9232,TD 71 FD,180,,245,,6.7,104.775,6,12,Дизель
39394,FM 3.2 CR,85,,116,,3.2,90.9,5,10,Дизель
11317,OM 906.923,205,,279,,6.4,102,6,18,Дизель
17628,X 22 XE,100,104,136,141,2.2,86,4,16,бензин
31117,D19TCI,82,,112,,1.9,80,4,16,Дизель
45824,B 4204 T57,233,,317,,2,82,4,16,бензин
29878,XWDB,88,,120,,1.5,73.5,4,8,Дизель
11495,M 113.961,225,,306,,5,97,8,24,бензин
49867,B61W,64,,87,,1.6,78,4,8,бензин
20165,A 17 DTR,92,,125,,1.7,79,4,16,Дизель
36376,CUHB,169,,230,,2,82.5,4,16,бензин
21957,EGM,116,134,158,182,3.3,93,6,12,Бензин/спирт
45255,TZ270-XS001,81,,110,,,,,,электричество
44960,TLE4G15D,115,,156,,1.5,75,4,16,бензин
36375,DBSA,162,,220,,2,,4,16,бензин
28822,OM 924.987,142,,193,,4.8,106,4,12,Дизель
16527,BEH,85,,116,,2,82.5,4,8,Бензин/газ
32948,250 A2.000,85,,116,,2,83,4,16,Дизель
36071,CA4GX15-01,75,,102,,1.5,,4,16,бензин
36887,4G13T,100,,136,,1.3,,4,16,бензин
31593,LL4,97,119,132,162,6.2,101,8,16,Дизель
38094,ISB170-40,125,,170,,5.9,102,6,24,Дизель
23830,LH0,87,104,118,141,3.1,89,6,12,Бензин/спирт
29578,9HD (DV6C),84,,114,,1.6,75,4,8,Дизель
33546,DFMA14TD,103,110,140,150,1.4,73,4,16,бензин
40791,N6A (TU5JP4),78,83,106,113,1.6,78.5,4,16,бензин
36727,DHFA,96,,131,,1.5,74.5,4,16,Бензин/газ
50131,840,135,137,184,186,3.5,88.9,8,16,бензин
26463,CYFC,92,,125,,2.2,86,4,16,Дизель
35901,ESD,522,527,710,717,6.2,103.9,8,16,бензин
32579,8140.63.2585,63,64,86,87,2.8,94.4,4,8,Дизель
693,M25/629,55,,75,,2.5,93,4,8,Дизель
41758,L3-VE,115,,156,,2.3,87.5,4,16,бензин
47606,GH10B285,210,,286,,9.6,120.65,6,12,Газ
28234,F1AE0481R,85,,116,,2.3,88,4,16,Дизель
43944,C38F,104,104,141,141,3.8,96.8,6,12,бензин
41930,A24XE,127,,173,,2.4,88,4,16,бензин
35292,P5Y6,78,,106,,1.5,74.5,4,16,бензин
49324,490PLUS2,101,,137,,2.5,92,4,8,Дизель
6868,8210.02.000,191,,260,,13.8,137,6,12,Дизель
24284,QD32TTDI,81,,110,,3.2,99.2,4,8,Дизель
37650,H4B 453,68,,92,,0.9,72.2,3,12,бензин
16347,F9Q 732,74,77,101,105,1.9,80,4,8,Дизель
1323,N5C,162,,220,,2,90.83,4,16,бензин
40424,TZ185XSHK90,60,,82,,,,,,электричество
49301,DGY (EP6FADTXHPE),110,,150,,1.6,77,4,16,бензин
21927,F 118 B 42,384,397,522,540,5.7,89,12,48,бензин
22943,G491Q-ME,67,76,91,103,2.2,91,4,8,бензин
36914,L47(244CUV8),186,,253,,4,87,8,32,бензин
36771,TZ228XS007,110,,150,,,,,,электричество
18086,Z 19 DT,88,,120,,1.9,82,4,8,Дизель
3565,124 B6.000,47,,64,,1.2,73,4,8,бензин
33469,H5F 410,92,,125,,1.2,72.2,4,16,бензин
8085,OM 354.924,103,,140,,4,97.5,4,8,Дизель
10558,8210.42.181,277,,377,,13.8,137,6,12,Дизель
3519,B202L,118,150,160,204,2,90,4,16,бензин
37710,S4PHT,103,,140,,1.6,76,4,16,бензин
10967,B20A7,110,,150,,2,81,4,16,бензин
18558,F9Q2,85,,116,,1.9,80,4,8,Дизель
18875,G9T 720,66,,90,,2.2,87,4,16,Дизель
45907,10 C,92,,125,,2.3,81,6,12,бензин
21913,B85,25,,34,,0.8,85.5,2,4,бензин
17744,OM 904.956,142,,193,,4.2,102,4,12,Дизель
34932,D4HC,147,149,200,202,2.2,85.4,4,16,Дизель
31490,9HC (DV6C),82,85,112,116,1.6,75,4,8,Дизель
43921,10H,28,28,38,38,1.2,63.5,4,8,бензин
890,128 AC.000,55,,75,,1.3,86,4,8,бензин
40807,923.02,66,,90,,2,94,4,8,бензин
42632,188A3000,44,44,60,60,1.9,82,4,8,Дизель
46548,TZ220XS109,107,,145,,,,,,электричество
2751,D8B (XUD9TE),68,69,92,94,1.9,83,4,8,Дизель
16896,M 113.982,260,,354,,5.5,97,8,24,бензин
4200,AEM,180,,245,,4.2,84.5,8,32,бензин
28092,TD2650F,44,63,60,86,2.6,,4,8,Дизель
43621,ZL06,81,95,110,129,1.5,78,4,16,бензин
42958,V8RE,144,144,196,196,4,93.98,8,16,бензин
37475,MB-OM 662 LA,88,,120,,2.9,89,5,10,Дизель
28343,M20 B25 (256EX),125,126,170,171,2.5,84,6,12,бензин
29591,4A91,83,,113,,1.5,75,4,16,бензин
42618,M156C,243,243,330,330,3,86.5,6,24,бензин
40140,TZ220XS529,120,,163,,,,,,электричество
12552,NS 177 M,177,,241,,6.2,104.175,6,12,Дизель
38001,ISZ450 40,335,,455,,13,130,6,24,Дизель
32486,APA6,257,261,350,355,3.6,91.2,6,24,бензин
28851,CJXA,206,,280,,2,82.5,4,16,бензин
25849,D 0826 FR 01,110,,150,,6.9,108,6,12,Дизель
20238,192 A8.000,88,,120,,1.9,82,4,8,Дизель
44884,DSGA,48,,65,,1,74.5,3,12,бензин
53688,TZ210XYEEB,160,,218,,,,,,электричество
26583,DD-66,9,11,12,15,1.1,82.6,2,4,Дизель
41315,EQB 210-20,155,,211,,5.9,102,6,12,Дизель
19666,F8Q 610,66,69,90,94,1.9,80,4,8,Дизель
24599,CMXA,75,,102,,1.6,81,4,8,бензин
35051,290TZ-XS150K,75,,102,,,,,,электричество
22459,EGT,146,153,199,208,3.8,96,6,12,бензин
38393,L10(61CUL4),47,,64,,1,71.1,4,8,Спирт
52793,112AA9,30,,41,,,,,,электричество
20344,VQ23DE,127,,173,,2.4,85,6,24,бензин
5789,OM 446.920,390,,530,,14.6,128,8,16,Дизель
23374,D11B390,287,,390,,10.8,123,6,24,Дизель
34556,WFZ (EC8),102,,139,,1.8,79,4,16,бензин
42795,213TZ,97,105,132,143,,,,,электричество
29872,G4LC,70,85,95,116,1.4,72,4,16,бензин
28684,OM 372.984,150,,204,,6,97.5,6,12,Дизель
26083,M 278.932,320,,435,,4.7,92.9,8,32,бензин
26422,AR 00112,65,68,88,92,1.6,78,4,8,бензин
49690,TZ220XSA01,200,,272,,,,,,электричество
5135,AC,29,,39,,1.3,77,4,8,бензин
26572,CNLA,110,,150,,1.4,74.5,4,16,бензин
12470,TD27,60,73,82,99,2.7,96,4,8,Дизель
23024,OM 376.955,125,135,170,184,6,97.5,6,12,Дизель
21660,J24B,120,138,163,188,2.4,92,4,16,бензин
1372,NWN,66,,90,,2,84,6,12,бензин
38208,dCi465-51,343,,466,,11.1,123,6,24,Дизель
50051,XRM,180,,245,,,,,,электричество
25424,940 A8.000,100,,136,,2,83,4,16,Дизель
34028,4G15T,102,115,139,156,1.5,75.5,4,16,бензин
40789,TZ200XSC,163,,222,,,,,,электричество
47150,HPQ7.5YBE-72,15,,20,,,,,,электричество
33451,4ZR,87,97,118,132,1.6,80.5,4,16,бензин
37533,270TYZ-XS02AQ,90,,122,,,,,,электричество
34942,PT204(AJ20P4),147,221,200,300,2,83,4,16,бензин
28257,T1GA,85,,115,,1.6,,4,8,Дизель
50561,TZ202XSSQC,150,,204,,,,,,электричество
14229,3ZZ-FE,80,81,109,110,1.6,79,4,16,бензин
33752,DA465QA,43,44,58,60,1,65.5,4,8,бензин
36229,DFMB20-I,108,,147,,2,85,4,16,бензин
