eng_id,Код двигателя,Мощность (kw) от,Мощность (kw) до,Мощность (л.с.) от,Мощность (л.с.) до,Объем двигателя (л.),Диаметр цилиндра (мм),Количество цилиндров,Количество клапанов,Тип топлива двигателя
26587,DD-148,26,29,35,39,2.4,87.3,4,8,Дизель
50731,3029TPY63,34,46,46,63,2.9,106.5,3,6,Дизель
51268,390ci V8 (2 Barrel),198,260,269,354,6.4,102.87,8,16,бензин
27248,M57 D30 (306D2),150,160,204,218,3,84,6,24,Дизель
49875,GH11E-410,302,,410,,10.8,123,6,24,Дизель
13950,APU,110,,150,,1.8,81,4,20,бензин
7771,D 2866 LF20,294,309,400,420,12,128,6,12,Дизель
39474,781.136I50,40,50,54,68,1.3,75.5,4,8,бензин
29958,491Q-E3,78,,106,,2.2,91,4,8,бензин
39153,S2-45,10,,14,,,,,,электричество
17871,F 1L 812,9,10,12,14,0.9,95,1,2,Дизель
42588,128B3038,60,60,82,82,1.5,86.4,4,8,бензин
45868,JL473ZQ6,125,,170,,1.5,,4,16,бензин
4346,127 A5.000,33,38,45,52,1.3,76.1,4,8,Дизель
44380,A498 BT,33,37,45,50,3.2,98,4,8,Дизель
39726,F 12 XEL (EB2FAD),55,,75,,1.2,75,3,12,бензин
6165,OM 442.994,362,,492,,14.6,128,8,16,Дизель
29303,CZCA,92,,125,,1.4,74.5,4,16,бензин
22294,JL475Q1,71,95,97,129,1.6,75,4,16,бензин
2949,930.66,221,,301,,3.3,97,6,12,бензин
37669,M30 B25 A,107,125,145,170,2.5,86,6,12,бензин
43009,AM25,365,380,496,517,6,89,12,48,бензин
42665,XU10J,84,85,114,116,2,86,4,8,бензин
26166,BL18L,95,,129,,1.8,79,4,16,бензин
20810,CCRA,74,77,101,105,1.6,76.5,4,8,Бензин/спирт
40770,5G06 (EP6FADTXD),123,129,167,175,1.6,77,4,16,бензин
27438,V99V,194,225,264,286,4.6,,8,32,бензин
32376,JQMB,110,,150,,1.6,79,4,16,бензин
35712,SFJN,74,,101,,1,71.9,3,12,бензин
37790,YC6A240-33,177,,240,,7.3,108,6,24,Дизель
1329,N8A,80,,109,,2,86,4,8,бензин
30423,K14B-C,73,,99,,1.4,73,4,16,бензин
8497,XM7P,48,50,65,68,1.8,84,4,8,бензин
32097,L15B5,96,,131,,1.5,73,4,16,бензин
44807,DC 09.144,265,,360,,9.3,130,5,20,Дизель
44135,DNNA,140,,190,,2,82.5,4,16,бензин
31622,K9K 628,63,66,86,90,1.5,76,4,8,Дизель
48302,DYGA,463,,630,,4,86,8,32,бензин
36422,K14B,70,,95,,1.4,73,4,16,бензин
30890,M 274.910,115,,156,,1.6,83,4,16,бензин
9436,M 103.981,132,138,180,188,3,88.5,6,12,бензин
34643,M840T,527,563,717,765,4,,8,32,бензин
26691,M 161.950,94,,128,,2,89.9,4,16,бензин
16455,G20A,64,,87,,2,89,4,8,бензин
49282,L15A7CNG,75,,102,,1.5,,4,16,Бензин/газ
24815,B10D1,48,50,65,68,1,68.5,4,16,бензин
45124,K9K 876,55,85,75,116,1.5,76,4,8,Дизель
43027,L99A,72,72,98,98,2.3,93.5,4,8,бензин
35636,YBD,167,,227,,2,90.83,4,16,бензин
23439,CHFA,44,,60,,1.2,76.5,3,6,бензин
52590,ISBe6.7E6-250,187,,254,,6.7,107,6,24,Дизель
11769,8140.43,90,,122,,2.8,94.4,4,8,Дизель
17537,M 112.973,180,,245,,3.7,97,6,18,бензин
19638,ZH13J4J,43,51,58,69,1.3,74,4,8,бензин
53759,EECB,85,,116,,,,,,электричество
13751,RD28Ti,95,96,129,131,2.8,85,6,12,Дизель
52977,F 140 HD,610,,830,,6.5,94,12,48,бензин
40335,R (351C-4V),239,,325,,5.8,101.6,8,16,бензин
5812,OM 355.963,176,,240,,11.6,128,6,24,Дизель
30392,L15B3,96,,131,,1.5,73,4,16,бензин
27552,ISDe245-30,180,,245,,6.7,107,6,24,Дизель
34904,ZT13527108,27,,37,,,,,,электричество
22539,KL 20 L,60,,82,,2,93.7,4,8,бензин
1858,840 A2.000,55,59,75,80,1.4,82,4,12,бензин
21530,G4KC,119,128,162,174,2.4,88,4,16,бензин
10593,8210.42.195,277,,377,,13.8,137,6,12,Дизель
3338,J7R 732,77,,105,,2,88,4,8,бензин
36840,B 4154 T2,112,,152,,1.5,82,4,16,бензин
18322,ENC,85,105,116,141,2.5,92,4,8,Дизель
31625,FB25B,127,,173,,2.5,94,4,16,бензин
19263,M 275.953,380,,517,,5.5,82,12,36,бензин
51740,TZ153XS001,126,,171,,,,,,электричество
10396,8340.04.362,74,,101,,4.6,115,4,8,Дизель
20404,BYK,125,,170,,2,82.5,4,16,бензин
28716,955 B1.000,103,,140,,1.4,72,4,16,бензин
20118,1SZ-FE,51,,69,,1,69,4,16,бензин
44312,V22H,70,86,95,117,2.2,,4,8,Бензин/газ
31652,DCXA,88,,120,,1.6,79.5,4,16,Дизель
52404,TZ180XSZX02,72,,98,,,,,,электричество
43161,V844,149,149,203,203,4.4,88.9,8,16,бензин
31991,LAU 61,136,147,185,200,2.2,83.8,4,16,Дизель
14915,AUY,85,,115,,1.9,79.5,4,8,Дизель
41102,TRA200,24,33,33,45,,,,,электричество
9132,TD 70 B,152,,207,,6.7,104.775,6,12,Дизель
23313,M 96.26,191,206,260,280,3.2,93,6,24,бензин
14008,Z 10 XE,43,,58,,1,72.5,3,12,бензин
25181,M 48.20,294,302,400,411,4.8,96,8,32,бензин
19731,4G64-S4M,92,97,125,132,2.4,86.5,4,16,бензин
41151,YAMZ-536.22-10,177,,241,,6.7,105,6,12,Дизель
33724,DFMA16,85,91,116,124,1.6,82.55,4,16,бензин
30879,R18Z7,100,,136,,1.8,81,4,16,бензин
18284,F4R 787,120,125,163,170,2,82.7,4,16,бензин
12127,TUD 3,38,,52,,1.4,75,4,8,Дизель
18227,15 DT (T4EC1),49,53,67,72,1.5,76,4,8,Дизель
45257,YC6L290-42,213,,290,,8.4,113,6,24,Дизель
25727,CFGC,130,,177,,2,81,4,16,Дизель
40283,H6E4-S165,165,,224,,5.8,104,6,12,Дизель
2358,G15B,51,64,70,87,1.5,75.5,4,8,бензин
10920,8060.45.5255,152,,207,,5.9,104,6,12,Дизель
21092,F4AE3481C,103,,140,,3.9,102,4,16,Дизель
6277,OM 366.949,92,115,125,156,6,97.5,6,12,Дизель
28930,D 2866 LF08,243,,330,,12,128,6,12,Дизель
35820,ETG029,29,,39,,,,,,электричество
45166,WP13NG430E61,316,,430,,12.5,127,6,24,Газ
32079,M5M 400,147,162,200,220,1.6,79.7,4,16,бензин
24432,TBWB,107,,145,,2,87.5,4,16,Бензин/спирт
46132,BWD,103,,140,,2,81,4,16,Дизель
20841,F9Q 754,74,79,101,107,1.9,80,4,8,Дизель
26306,N52 B30 BF,160,200,218,272,3,85,6,24,бензин
41338,TM5009,150,,204,,,,,,электричество
53371,DWTB,357,,486,,3.6,97,6,24,бензин
31770,CKHC,448,449,609,610,6,84,12,48,бензин
32179,46K4F,230,,313,,4.6,90.2,8,32,бензин
19096,D 2066 LF 33,265,,360,,10.5,120,6,24,Дизель
37437,A05C-TD,177,,241,,5.1,112,4,16,Дизель
47487,LFC2,104,,141,,2,81,4,16,бензин
22687,4B28,65,,88,,2.8,95,4,8,Дизель
24590,199 B1.000,70,,95,,1.3,69.6,4,16,Дизель
23399,BDX,154,162,209,220,2.8,84.5,6,24,бензин
25190,F 1L 612,8,,11,,0.8,90,1,2,Дизель
5679,OM 366.947,100,,136,,6,97.5,6,12,Дизель
40685,YC4F115-30,85,,116,,2.7,92,4,16,Дизель
13848,135L,43,,58,,1.3,75.5,4,8,бензин
32745,M9T 702,100,120,136,163,2.3,85,4,16,Дизель
38038,CA6DF4-18E4,135,,184,,6.7,107,6,12,Дизель
47671,SFG16C,90,,122,,1.6,,4,16,бензин
21878,EGA,100,134,152,182,3.3,93,6,12,бензин
20541,6102 BQ,103,,140,,5.8,102,6,12,Дизель
39340,SFG18H,98,,133,,1.8,,4,16,бензин
20258,OM 902.930,175,,238,,6.4,102,6,18,Дизель
40602,MH01,105,107,143,145,,,,,электричество
2135,M 111.961,110,,150,,2.2,89.9,4,16,бензин
45768,B7JG,92,,125,,1,71.9,3,12,Бензин/спирт
22907,OM 617.931,59,65,80,88,3,90.9,5,10,Дизель
30995,CUVC,110,,150,,2,81,4,16,Дизель
26267,QR 20 DE,100,,136,,2,89,4,16,бензин
3405,J8S 778,65,,88,,2.1,86,4,8,Дизель
45846,T73RVEX,224,321,305,436,7.3,107.188,8,16,Бензин/спирт
34743,D6GA,165,191,224,260,5.9,103,6,12,Дизель
20848,DC 9.35,169,,230,,9.3,130,5,20,Дизель
25230,M9T 690,74,92,101,125,2.3,85,4,16,Дизель
15391,AR 32310,110,114,150,155,2,83,4,16,бензин
27440,LAP,116,,158,,2.2,86,4,16,бензин
48389,H5H 490,103,116,140,158,1.3,72.2,4,16,бензин
51218,SQRH4J15,115,,156,,1.5,77,4,16,бензин
38321,E9-500,373,,507,,16.4,136.525,8,32,Дизель
3007,129,42,43,57,58,1.2,75,4,8,бензин
6313,TD 162 FL,330,357,450,485,16.1,144,6,24,Дизель
3840,5E-FHE,81,85,110,116,1.5,74,4,16,бензин
26349,N57 D30 C,280,,381,,3,84,6,24,Дизель
45566,L15C9,134,,182,,1.5,,4,16,бензин
45486,YC4FA120-50,88,,120,,3,96,4,8,Дизель
43697,MSI2500CNG,51,51,69,69,2.5,88.9,4,8,Бензин/газ
18917,OM 924.920,160,,218,,4.8,106,4,12,Дизель
37221,TZ190XD45,30,,41,,,,,,электричество
39248,4ZF3-MPI,85,,116,,2.5,,4,16,бензин
42297,L16AM,49,61,67,83,1.6,87.37,4,8,бензин
47077,CA4DH1-16E5-30,121,,165,,3.8,98,4,16,Дизель
20998,1AZ-FE,108,112,145,152,2,86,4,16,бензин
27971,CKFB,105,,143,,2,81,4,16,Дизель
50413,4F20TC30,120,,163,,2,,4,16,Дизель
41057,M 274.920,155,,211,,2,83,4,16,бензин
5446,4 ZD1,69,72,94,98,2.3,89.3,4,8,бензин
4545,F20Z1,96,,131,,2,85,4,16,бензин
37087,PF6T,213,257,290,349,12.5,133,6,24,Дизель
38533,BL,55,,75,,1.7,77.2,4,8,бензин
43877,FSFE,121,125,165,170,2,83,4,16,бензин
4758,20 N,56,66,76,90,2,95,4,8,бензин
33957,DLEG18,96,101,131,137,1.8,,4,16,бензин
8894,DS 14 LB 05,257,,350,,14.2,127,8,16,Дизель
17331,M 112.954,165,,224,,3.2,89.9,6,18,бензин
21068,PHFC,74,,100,,2.4,89.9,4,16,Дизель
36611,LS5(265CUV8),89,101,121,137,4.3,95.3,8,16,бензин
55130,ISC 300-20,221,,301,,8.3,114,6,24,Дизель
28120,MR479QA,69,,94,,1.5,78.7,4,16,Бензин/газ
32859,G6AU,143,,194,,3.5,93,6,24,бензин
29871,G4BA,110,,150,,2.7,95,4,16,бензин
42644,GE13,44,44,60,60,1.3,73,4,8,бензин
41144,CAM210PT2,140,,190,,,,,,электричество
25707,2AR-FXE,86,149,117,203,2.5,90,4,16,бензин
26188,LDE,83,91,113,124,1.6,79,4,16,бензин
46813,WP2.3NQ130E50,96,,131,,2.3,89,4,16,Дизель
17877,F 3L 712,24,33,33,45,2.6,95,3,6,Дизель
17721,OM 904.942,130,,177,,4.2,102,4,12,Дизель
51240,8140.43S1,92,,125,,2.8,,4,8,Дизель
38708,F3GFL611E,338,,460,,11.1,128,6,24,Дизель
8062,OM 356.905,95,,129,,6,97.5,6,12,Дизель
25286,SC,53,,72,,2.4,92,4,8,Дизель
9194,TD 122 FS,287,291,395,396,12,130.17,6,12,Дизель
20294,6SD1-TC,199,250,271,340,9.8,120,6,12,Дизель
45889,EAD3.4,170,,231,,,,,,электричество
34853,NEF4 (N40ENT),130,134,177,182,3.9,102,4,16,Дизель
741,V06/665,24,,33,,0.6,77,2,4,бензин
51507,HB0,150,,204,,,,,,электричество
16465,D 0826 LOH 03,162,169,220,230,6.9,108,6,12,Дизель
53862,TZ220WY075,160,175,218,238,,,,,электричество
18061,D 226-3,33,44,45,60,3.1,105,3,6,Дизель
34661,G9U 754,73,84,99,115,2.5,89,4,16,Дизель
38853,YC6J245-50,180,,245,,6.5,105,6,24,Дизель
2296,4D65 T,55,60,75,82,1.8,80.6,4,8,Дизель
29181,DH10A245,180,,245,,9.6,120.65,6,12,Дизель
1196,GLA,39,40,53,54,1.1,73.96,4,8,бензин
9074,13T-U,70,71,95,97,1.8,85,4,8,бензин
23732,N4JB,110,,150,,2,87.5,4,16,бензин
1015,160 A1.000,52,56,71,76,1.4,80.5,4,8,бензин
37905,DPCA,110,,150,,1.5,74.5,4,16,бензин
24639,185 A4.011,134,,182,,2,82,5,20,бензин
39430,F1CGL411B,132,,179,,3,95.8,4,16,Дизель
38197,CA6DM3-50E5,368,370,500,503,12.5,126.5,6,24,Дизель
7783,D 2866 LUL 330,243,,330,,12,128,6,12,Дизель
48218,D 2676 LOH 36,338,,460,,12.4,126,6,24,Дизель
15968,C 20 SEL,85,100,116,136,2,86,4,16,бензин
38878,YC6J220-58,162,,220,,6.5,105,6,24,Дизель
49655,HG(AJ33),219,,298,,4.2,86,8,32,бензин
42516,688.04,37,37,50,50,1.1,70,4,8,бензин
35624,HMR (EB2FA),60,61,82,83,1.2,75,3,12,Бензин/газ
3080,852 750,43,44,58,60,2.1,86,4,8,Дизель
14968,F3AE0681E,287,,390,,10.3,125,6,24,Дизель
4809,E 12 GV,33,,45,,1.2,79,4,8,бензин
1008,159 A4.000,74,81,101,110,1.8,84,4,8,бензин
38013,WP6.220E50,162,,220,,6.8,105,6,12,Дизель
23028,OM 376.961,125,,170,,6,97.5,6,12,Дизель
20977,G9T 707,102,110,139,150,2.2,87,4,16,Дизель
6679,WS 315 G,315,,428,,11.6,130,6,12,Дизель
31693,D16K650,478,488,650,664,16.1,144,6,24,Дизель
26264,TD 102 FQ,234,,318,,9.6,120.65,6,12,Дизель
42461,Z7K,108,,147,,2.9,93,6,12,бензин
36384,TZ220XS53YSPL,105,,143,,,,,,электричество
45710,TZ160X15115H9-YJ,29,,39,,,,,,электричество
7589,D 2866 TUH/290,213,224,290,305,12,128,6,12,Дизель
42291,9FE,57,57,78,78,1.3,70.6,4,8,бензин
44272,TD2.0,33,,45,,1.9,91,3,6,Дизель
20778,D13B440,324,,440,,12.8,131,6,24,Дизель
427,BMW M20 B27,95,,129,,2.7,84,6,12,бензин
49964,DCBF,260,,354,,3,84.5,6,24,бензин
29226,CUSA,55,,75,,1.4,79.5,3,12,Дизель
8328,B4-40Ti,100,,136,,4,100,4,8,Дизель
11767,D16A520,382,,520,,16.1,144,6,24,Дизель
4723,13 N,39,44,53,60,1.3,75,4,8,бензин
39163,L91(98CUL4),73,80,99,109,1.6,79,4,16,бензин
4428,4FC,51,,70,,2.5,93.7,4,8,Дизель
44888,151,66,,89,,2.5,101.6,4,8,бензин
26698,YD25K3LD-5LO,90,107,121,145,2.5,89,4,16,Дизель
46133,6110-1,117,,159,,6.8,110,6,12,Дизель
32669,BYD473QD,80,,109,,1.5,73,4,16,Бензин/газ
21853,Z 22 YH,110,114,150,155,2.2,86,4,16,бензин
22902,M 160 E6AL B03,40,,55,,0.6,63.5,3,6,бензин
51110,EN0,215,371,292,504,,,,,электричество
44167,TZ200XSP07,120,,163,,,,,,электричество
26246,K9K 837,81,,110,,1.5,76,4,8,Дизель
22174,CAVC,103,,140,,1.4,76.5,4,16,бензин
32059,2AR-FXE,112,149,152,203,2.5,90,4,16,бензин
3336,J7R 723,88,,120,,2,88,4,8,бензин
44220,99Z,198,,269,,2.5,88.9,4,16,Бензин/спирт
91,AR 30520,66,79,90,107,1.5,84,4,8,бензин
21255,F8Q 696,40,48,54,65,1.9,80,4,8,Дизель
39287,WTYCDJ-30B-DN,90,,122,,,,,,электричество
15492,ARR,77,,105,,1.4,76.5,4,16,бензин
13489,1C,51,,69,,1.6,76.5,4,8,Дизель
35045,DT244(PUMA),90,103,122,140,2.4,89.9,4,16,Дизель
17666,OM 457.943,185,260,252,354,12,128,6,24,Дизель
47013,4B2-115C50,85,,116,,2.5,90,4,8,Дизель
36880,DKZB,145,,197,,2,82.5,4,16,бензин
14908,ATM,85,,115,,2,82.5,4,8,бензин
33915,DFGA,110,,150,,2,81,4,16,Дизель
49229,LJ4A15Q6,83,,113,,1.5,75,4,16,бензин
21933,F8M 700,40,,55,,1.6,78,4,8,Дизель
47021,4B2-95C40,70,,95,,2.5,90,4,8,Дизель
29705,4A91S,85,88,116,120,1.5,75,4,16,бензин
17683,Z 22 SE,106,108,144,147,2.2,86,4,16,бензин
18425,M 272.920,150,,204,,2.5,88,6,24,бензин
37660,SC20M139Q6,102,,139,,2,,4,16,Дизель
23998,4JA1-T,54,59,73,80,2.5,93,4,8,Дизель
20691,G4ED,76,82,103,112,1.6,76.5,4,16,бензин
22455,Z 24 SED,103,,140,,2.4,87.5,4,16,бензин
20049,F3P 676,69,70,94,95,1.8,82.7,4,8,бензин
31785,552 63 624,100,103,136,140,1.4,72,4,16,бензин
30539,R9CB,176,,240,,2,87.5,4,16,бензин
4564,G4CR,78,84,106,114,1.6,82.3,4,16,бензин
10187,178 B3.000,74,85,100,116,1.6,86.4,4,16,бензин
25799,R3PA,66,,90,,1.8,82.5,4,8,Дизель
38718,DLFA,82,,112,,1.5,74.5,4,16,бензин
19389,4HK1-XS,110,140,150,190,5.2,115,4,16,Дизель
34726,10E4E,92,,125,,1,74,3,12,бензин
54911,TZ220XSA01,200,,272,,,,,,электричество
42694,6G72-T,224,238,305,324,3,91.1,6,24,бензин
3459,Z7X 765,123,,167,,3,93,6,12,бензин
34926,CAF488WQ8,172,180,234,245,2,87.5,4,16,бензин
18600,LD8,205,,279,,4.6,93,8,32,бензин
39548,Z682,77,80,105,109,1.6,78,4,16,бензин
44869,CA4GC18TD-12,137,,186,,1.8,,4,16,бензин
50556,TZ210XY105,137,150,186,204,,,,,электричество
51999,KPTZ180YMXA0,90,,122,,,,,,электричество
50017,M315/4,25,,34,,1.5,58,6,12,бензин
20909,AZV,100,,136,,2,81,4,16,Дизель
20630,BEA,165,168,224,228,1.8,81,4,20,бензин
4974,ABN,54,55,73,75,1.6,81,4,8,бензин
3460,L 410 M,184,,250,,6.7,104.14,8,16,бензин
33747,40HG4,257,441,350,600,5.3,100,8,32,бензин
29558,FYDA,100,116,136,158,1.6,79,4,16,бензин
9422,OM 602.939,68,,92,,2.5,87,5,10,Дизель
41562,EBJA,109,150,148,204,,,,,электричество
4609,834 E.146,108,110,147,150,2.8,91,6,12,бензин
33708,AHH (DW10FC),130,,177,,2,85,4,16,Дизель
21414,TJ376QE,37,39,50,53,1,76,3,6,бензин
16138,AUC,37,,50,,1,67.1,4,8,бензин
11592,AQA,110,,150,,1.8,81,4,20,бензин
46502,46347696,118,,160,,1.5,71.2,4,16,бензин
22622,D6E (XU9JA),93,96,126,131,1.9,,4,8,бензин
34091,VQ35DE,185,,252,,3.5,95.5,6,24,бензин
360,YS,81,,110,,1.6,79.5,4,8,бензин
43771,L33DSTA,317,317,431,431,7,105,8,16,бензин
40480,K24W7,129,,175,,2.4,87,4,16,бензин
50740,TZ153XS136,130,,177,,,,,,электричество
23783,OM 651.925,100,,136,,2.2,83,4,16,Дизель
31939,D 2676 LF 54,353,,480,,12.4,126,6,24,Дизель
4711,RD28,66,74,90,101,2.9,85,6,12,Дизель
31506,XUGA,55,,75,,1.5,,4,8,Дизель
25064,9HX (DV6AUTED4),66,,90,,1.6,75,4,16,Дизель
33023,TV30LY,94,,128,,3,,6,12,бензин
33910,YC6MK375-40,276,,375,,10.3,123,6,24,Дизель
17263,D15A1,63,,86,,1.5,74,4,12,бензин
30336,VQ23DE,125,,170,,2.3,85,6,24,бензин
17944,Z 20 LET,140,162,190,220,2,86,4,16,бензин
32788,K7M 818,60,62,82,84,1.6,79.5,4,8,бензин
31949,B17A1,119,,162,,1.7,81,4,16,бензин
18014,Z 19 DTH,110,,150,,1.9,82,4,16,Дизель
48133,B403,105,140,143,190,6.6,110.5,8,16,бензин
43781,UEJB,77,78,105,106,1.5,79,4,16,бензин
853,F 116 B 00,325,,442,,5.5,88,12,48,бензин
31621,16 K4F,80,103,109,140,1.6,80,4,16,бензин
12828,DKZE 1160,226,,307,,11.6,130,6,12,Дизель
11307,156 A4.000,25,,34,,0.8,65,4,8,бензин
4677,OM 604.915,65,85,88,116,2,87,4,16,Дизель
36301,LT1(350CUV8),123,276,249,375,5.7,101.6,8,16,бензин
47647,1TZH,92,106,125,144,2,,4,16,Бензин/газ
23934,CLNA,77,,105,,1.6,79.5,4,16,Дизель
50469,PX-5 153,153,,208,,4.5,107,4,16,Дизель
44720,A25F-FXS,132,141,179,192,2.5,87.5,4,16,бензин
814,9JPFRB,175,177,238,241,4,91,6,24,бензин
40840,ISGe4-460,331,,450,,11.8,132,6,24,Дизель
10910,8060.25R.4764,105,,143,,5.9,104,6,12,Дизель
32639,RHK (DW10UTED4),79,88,107,120,2,85,4,16,Дизель
41950,TZ200XSN,180,,245,,,,,,электричество
20516,BLT,96,,131,,1.9,79.5,4,8,Дизель
53450,YS230XYA,230,,313,,,,,,электричество
1421,REB,66,,90,,1.8,86.2,4,8,бензин
21898,EPA,290,299,394,407,8,101.6,10,20,бензин
18372,146 A8.000,74,87,101,118,1.4,80.5,4,8,бензин
3054,840 730,118,,160,,1.4,76,4,8,бензин
31503,XVGA,74,,101,,1.5,73.5,4,8,Дизель
45978,DC 16.123,566,,770,,16.4,130,8,32,Дизель
33762,K9K 658,80,,109,,1.5,76,4,8,Дизель
1737,XK 4.2 ( -79),124,137,169,186,4.2,92.1,6,12,бензин
9191,TD 122 FK,287,291,390,396,12,130.175,6,12,Дизель
17152,AKG,220,,299,,4.2,84.5,8,32,бензин
52588,ISBe6.7E5-225B,165,,224,,6.7,107,6,24,Дизель
45986,B58 B30 C,245,,333,,3,82,6,24,бензин
22157,DH12E420,309,,420,,12.1,131,6,24,Дизель
29905,G4NA,114,162,155,220,2,81,4,16,бензин
44796,ISB3.9-140E40A,103,,140,,3.9,102,4,8,Дизель
23401,D 2676 LOH 27,353,,480,,12.4,126,6,24,Дизель
52576,ISDe250-30,185,,252,,6.7,107,6,24,Дизель
35172,CYKA,110,,150,,2,81,4,16,Дизель
39093,8G16,170,,231,,4.7,93,8,16,бензин
49834,4G20E6L,162,,220,,2,,4,16,бензин
35425,U 25 DT,96,,131,,2.5,80,6,12,Дизель
3837,4Y-EC,72,76,98,103,2.2,91,4,8,бензин
53091,M9R670,77,125,105,170,2,85,4,16,Дизель
43844,8LC,127,198,173,269,4.2,92.1,6,12,бензин
38438,WL11,85,,116,,2.5,93,4,12,Дизель
37177,DHFA,96,,131,,1.5,74.5,4,16,Бензин/газ
43609,U55,40,40,54,54,1.2,74.8,4,8,бензин
54792,TZ155X050,50,,68,,,,,,электричество
18726,BNM,51,,70,,1.4,79.5,3,6,Дизель
47072,CA4DD1-15E5,113,,154,,3,95.4,4,16,Дизель
42179,UHD,66,73,90,99,1.8,81,4,8,Бензин/спирт
9198,TD 123 EC,270,,367,,12,130.175,6,12,Дизель
22962,D 0834 LFL 60,110,,150,,4.6,108,4,16,Дизель
357,YM,63,,85,,1.6,79.5,4,8,бензин
6634,DKXE 1160,212,,280,,11.6,130,6,12,Дизель
42338,RFB1,45,45,61,61,2,86,4,8,Дизель
40817,6G30TQY,206,,280,,3,,6,24,бензин
35329,DDVB,210,,286,,3,83,6,24,Дизель
21369,Z 13 DT,51,,70,,1.3,69.6,4,16,Дизель
25557,M 134.910,47,55,64,75,1.1,75,3,12,бензин
23939,CMEA,105,,143,,2,81,4,16,Дизель
40429,BF4M2012-13E3,101,,137,,4,101,4,8,Дизель
20050,F3R 797,80,85,109,115,2,82.7,4,8,бензин
16326,D7F 722,43,44,58,60,1.2,69,4,8,бензин
7652,D 0226 MCFO/170,125,131,170,178,5.7,102,6,12,Дизель
29774,B 10 XFL,66,77,90,105,1,74,3,12,бензин
23964,D 2066 LUH 42,235,,320,,10.5,120,6,24,Дизель
17199,AMY,128,,174,,2.8,81,6,12,бензин
20613,G15A,57,77,77,105,1.5,75,4,16,бензин
2115,M 110.921,118,,160,,2.7,86,6,12,бензин
18093,D 308-3,24,33,32,45,2.2,95,3,6,Дизель
36040,CE16,150,,204,,1.6,77,4,16,бензин
48179,170 ci,82,,111,,2.8,76.2,6,12,бензин
45380,ISBe4-140,103,,140,,4.5,107,4,16,Дизель
34189,XC4G19,74,,100,,2,86,4,8,бензин
29262,821.02,40,48,54,65,1.6,77,4,8,бензин
32402,LEB-H1,81,97,110,132,1.5,73,4,16,бензин
31256,CAY6,197,204,268,277,3.7,95.5,6,24,бензин
20679,K20A4,110,,150,,2,86,4,16,бензин
348,WY,55,,75,,1.6,79.5,4,8,бензин
42045,LV7,73,73,99,99,1.4,74,4,16,бензин
6186,OM 446.930,280,,381,,14.6,128,8,16,Дизель
40395,497 TCIC BS IV,75,92,102,125,3.8,97,4,8,Дизель
32401,D15Y3,82,,112,,1.5,75,4,16,бензин
27271,D6EB,184,188,250,256,3,84,6,24,Дизель
43630,311N,89,110,121,150,5,95.3,8,16,бензин
48021,D4CB,96,,131,,2.5,91,4,16,Дизель
8519,MIDR 06.35.40 J/3,305,,415,,12,135,6,12,Дизель
44134,DLCG12,63,,86,,1.3,,4,16,бензин
43876,G4KD,115,115,156,156,2,86,4,16,бензин
43862,PMCB18,81,81,110,110,1.8,81,4,16,бензин
31296,4G63-S4M,90,95,122,129,2,85,4,16,бензин
36320,LFB11,107,,145,,2,,4,16,бензин
42872,BARRA325T,325,,442,,4,92.25,6,24,бензин
38061,CA6DLD-20E5,149,,203,,6.6,108,6,24,Дизель
17156,AMF,55,,75,,1.4,79.5,3,6,Дизель
34648,2RZ-FE,103,,140,,2.4,95,4,16,бензин
22422,ECH,98,112,133,152,2,87.5,4,16,бензин
2938,M 64.05,200,,272,,3.6,100,6,12,бензин
5413,911.02,132,,180,,2.2,84,6,12,бензин
34196,20 HT,110,120,150,163,2,84.5,4,16,бензин
8901,DSC 14.06,297,309,404,420,14.2,127,8,16,Дизель
29540,CREA,228,,310,,3,84.5,6,24,бензин
34582,4HW (DW12TED4),94,100,128,136,2.2,85,4,16,Дизель
51413,TZ200XSAC,160,,218,,,,,,электричество
30289,ISF 150,110,112,150,152,3.8,102,4,16,Дизель
38466,YC4E160-56,118,,160,,4.3,110,4,8,Дизель
2861,180A (XU5J),76,77,104,105,1.6,83,4,8,бензин
43790,99S,140,173,190,235,3,89,6,24,бензин
21561,L3X,119,,162,,2.3,87.5,4,16,бензин
44708,T35PDTD,218,483,296,657,3.5,92.5,6,24,Бензин/спирт
25612,D 2066 LF 62,324,,441,,10.5,120,6,24,Дизель
43650,M31C,47,47,64,64,1.3,70.5,4,8,бензин
35335,LTG,186,188,253,256,2,86,4,16,бензин
1691,G180-SZ,85,,115,,1.8,84,4,8,бензин
50244,F2 (8V),67,86,91,117,2.2,86,4,8,бензин
49470,LJM20B,100,,136,,2,,4,16,бензин
37264,HH413Q/P-A,64,,87,,1.3,,4,16,бензин
31676,CYC4,193,,263,,3.5,92.5,6,24,бензин
20761,936 B.000,136,,185,,2.4,82,5,20,Дизель
5645,MIDR 06.02.26 H,133,147,181,200,6.2,102,6,12,Дизель
3299,F8Q 776,47,48,64,67,1.9,80,4,8,Дизель
2221,OM 603.960,100,108,136,147,3,87,6,12,Дизель
51199,221ci V8 (2 Barrel),74,108,101,147,3.6,89,8,16,бензин
34045,F6B,47,,64,,0.7,65,4,16,бензин
38795,YC6L330-58,243,,330,,8.4,113,6,24,Дизель
23930,CGFA,245,283,333,385,3,84.5,6,24,бензин
