let_eng_id,let_type_id,case
45671,49717,CV
34739,126414,PC
29712,18420,CV
21057,36325,CV
32329,12060,PC
41086,38154,CV
22233,14108,CV
24616,19580,PC
41037,47541,CV
18135,18523,PC
4790,828,PC
49790,155041,PC
40518,34210,CV
42019,48326,PC
29281,128757,PC
31328,114845,PC
47072,61093,CV
38373,137500,PC
33132,59618,PC
5325,3338,PC
23944,12295,CV
27207,800427,PC
7780,5920,CV
22150,21463,CV
24315,139176,PC
33079,6402,PC
44581,41666,CV
33803,129185,PC
17371,11465,CV
36282,122785,PC
36381,36134,PC
48148,157714,PC
35638,106600,PC
16530,17001,PC
38717,52190,CV
39135,116068,PC
33911,33565,CV
33386,132229,PC
41927,5871,CV
36084,113067,PC
40454,28876,CV
24331,36054,CV
31663,29778,PC
38235,43524,CV
45697,802747,CV
48004,56001,CV
16787,25047,CV
10984,2233,CV
28082,16268,CV
35916,27957,CV
43485,129765,PC
35861,122516,PC
32619,136012,PC
35243,49936,CV
35013,35801,CV
29877,113297,PC
28917,54039,CV
37477,35850,CV
19288,29491,PC
18622,9131,PC
7766,1486,CV
18954,4441,PC
37596,31946,CV
29757,58904,PC
28194,16550,CV
5029,49842,PC
22413,23590,PC
18821,14546,PC
40299,34443,CV
33737,33493,CV
17697,59065,CV
5680,6432,CV
44638,156116,PC
27722,18543,CV
4983,8769,PC
36568,57060,CV
30873,113084,PC
38319,38180,CV
43174,126369,PC
5104,5175,PC
43761,12954,PC
38069,29963,CV
43456,100731,PC
20025,18996,PC
663,15073,PC
31593,36677,PC
44160,148212,PC
7661,1029,CV
19111,54423,CV
37875,28889,CV
31079,113319,PC
37857,44837,CV
33737,35156,CV
31909,8090,CV
27605,15804,CV
29829,20965,CV
41179,146419,PC
19196,11313,CV
30399,115279,PC
5774,58311,CV
27832,58969,PC
7663,53181,CV
38423,137566,PC
34130,124838,PC
8269,6858,CV
47540,33329,CV
33929,120771,PC
35167,49951,CV
26113,24354,PC
29826,36460,CV
45720,801426,PC
38088,29772,CV
15311,13186,PC
22503,131177,PC
34022,123906,PC
34434,108946,PC
40281,38891,CV
5325,3398,PC
32332,122113,PC
39838,127522,PC
20282,9122,CV
18931,34204,CV
45878,41310,CV
36642,116200,PC
22140,19661,PC
4985,136920,PC
9465,4789,PC
22138,28599,PC
49924,155084,PC
14510,6376,CV
15049,1727,CV
36282,116768,PC
9219,25845,CV
48012,53993,CV
37183,25128,PC
47587,52488,CV
11729,25012,CV
16519,10326,CV
9125,52632,CV
19216,15877,PC
34996,100390,PC
12388,12546,PC
32058,36822,PC
22930,10943,PC
4834,2321,PC
31346,800226,PC
